S0, MC, AT, Avg, Diff
70, 0.17430873087579934, 0.17429879907469858, 0.17430376497524896, 0.000009931801100759863
116, 4.215499359050752, 4.2165412478454405, 4.216020303448096, 0.0010418887946883615
131.25, 0, 0, 0, 0
92.75, 2.5124654225737864, 2.514555392063417, 2.5135104073186016, 0.002089969489630583
132, 0, 0, 0, 0
135.75, 0, 0, 0, 0
68, 0.11919597006417448, 0.11931295378027572, 0.11925446192222511, 0.00011698371610123492
67.75, 0.1135324429255905, 0.11336522785771028, 0.11344883539165039, 0.00016721506788022755
108.75, 4.506289739962563, 4.5037236797141675, 4.505006709838366, 0.002566060248395452
72.75, 0.2805089204327823, 0.2804687095960984, 0.28048881501444034, 0.00004021083668392933
73, 0.29194606001562695, 0.2922416285884277, 0.29209384430202734, 0.0002955685728007751
138.25, 0, 0, 0, 0
115.75, 4.246195377893224, 4.245278367204567, 4.245736872548896, 0.0009170106886573492
69.25, 0.15174483320986, 0.15176419993998785, 0.15175451657492392, 0.000019366730127867715
112.5, 4.4940998065437885, 4.494678044159115, 4.494388925351451, 0.0005782376153264934
83.25, 1.1287739110190198, 1.128084351472396, 1.1284291312457078, 0.0006895595466238635
138, 0, 0, 0, 0
91.5, 2.309566410001223, 2.3112056918439445, 2.3103860509225838, 0.0016392818427215516
108.25, 4.4864929255337005, 4.485534898656435, 4.486013912095068, 0.0009580268772655387
122, 3.043576562888804, 3.043770470422408, 3.043673516655606, 0.00019390753360415403
134, 0, 0, 0, 0
133.75, 0, 0, 0, 0
131, 0, 0, 0, 0
91.75, 2.3497968655719643, 2.350709179889913, 2.3502530227309384, 0.0009123143179485815
91.25, 2.2700247073101165, 2.270102610480154, 2.2700636588951353, 0.00007790317003752989
63.5, 0.04511495509502062, 0.0449562920196539, 0.045035623557337257, 0.00015866307536672314
94, 2.7181889240659727, 2.719684692000096, 2.7189368080330345, 0.0014957679341232044
127.75, 1.0294343179572445, 1.0293942906657974, 1.029414304311521, 0.00004002729144714223
81.75, 0.9585746778310709, 0.9591133535873476, 0.9588440157092093, 0.0005386757562767519
137, 0, 0, 0, 0
135.5, 0, 0, 0, 0
130.25, 0, 0, 0, 0
110, 4.532586535232654, 4.532058518545487, 4.53232252688907, 0.0005280166871672876
129.5, 0.24034240184928304, 0.24042090563824162, 0.24038165374376233, 0.00007850378895857268
101.75, 3.903678119553753, 3.9034257658859692, 3.903551942719861, 0.00025235366778364465
128.75, 0.5885845297384144, 0.5886054157374402, 0.5885949727379273, 0.000020885999025832547
119.25, 3.696856370565426, 3.695263063399801, 3.6960597169826137, 0.001593307165624669
110.75, 4.533970376967847, 4.534104902579532, 4.53403763977369, 0.0001345256116849214
124.75, 2.1911390257998273, 2.191486972858141, 2.191312999328984, 0.0003479470583136468
86.5, 1.5488683208189296, 1.5495695566673755, 1.5492189387431525, 0.0007012358484459469
112, 4.5129721883044285, 4.511828779938785, 4.512400484121606, 0.0011434083656434169
83.5, 1.1586032501390147, 1.1581898814604623, 1.1583965657997384, 0.0004133686785523505
100.75, 3.7696020893690063, 3.7701132369081676, 3.7698576631385867, 0.0005111475391612608
114.5, 4.368949267350051, 4.369893569569017, 4.369421418459535, 0.0009443022189659089
135, 0, 0, 0, 0
137.25, 0, 0, 0, 0
83.75, 1.1889661961568916, 1.1884269709621471, 1.1886965835595193, 0.0005392251947444748
114.75, 4.348738344891067, 4.347585028359967, 4.348161686625517, 0.001153316531099513
88.75, 1.8786976329793705, 1.8780066646343574, 1.878352148806864, 0.0006909683450131432
126.5, 1.5431351465482142, 1.5428839616159442, 1.5430095540820792, 0.0002511849322699433
125.75, 1.8307944085557768, 1.8308167235408297, 1.8308055660483031, 0.000022314985052895864
126.75, 1.4435744766198302, 1.443754429575301, 1.4436644530975657, 0.00017995295547090784
133.25, 0, 0, 0, 0
106.75, 4.405328702176106, 4.403903143228482, 4.404615922702294, 0.0014255589476235286
89.25, 1.9542171636985004, 1.9548101924717376, 1.954513678085119, 0.0005930287732371919
130.5, 0, 0, 0, 0
110.25, 4.533970512965018, 4.532867041549151, 4.533418777257085, 0.0011034714158668635
126, 1.7363408072183635, 1.7364273985242917, 1.7363841028713276, 0.00008659130592825193
60.75, 0.022695600361038484, 0.02259487258049761, 0.02264523647076805, 0.00010072778054087336
113.25, 4.458678059417203, 4.45767156326911, 4.458174811343156, 0.0010064961480926726
117.5, 4.0098820744490995, 4.0074439457310955, 4.008663010090098, 0.0024381287180039735
90, 2.0706966873515587, 2.071160933166609, 2.070928810259084, 0.00046424581505055684
99.25, 3.5551810073303582, 3.5537027682030637, 3.554441887766711, 0.0014782391272945006
